Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Az alkalmazásod gyűjt vagy megoszt bármilyen kötelező felhasználóiadat-típust?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Az alkalmazásod által gyűjtött összes felhasználói adatot titkosítod továbbításkor?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,A következő fióklétrehozási módszerek közül melyeket támogatja az alkalmazásod? Válaszd ki az összes vonatkozó módot / Felhasználónév és jelszó
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,false,MULTIPLE_CHOICE,A következő fióklétrehozási módszerek közül melyeket támogatja az alkalmazásod? Válaszd ki az összes vonatkozó módot / Felhasználónév és egyéb hitelesítés
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,false,MULTIPLE_CHOICE,"A következő fióklétrehozási módszerek közül melyeket támogatja az alkalmazásod? Válaszd ki az összes vonatkozó módot / Felhasználónév, jelszó és más hitelesítés"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,A következő fióklétrehozási módszerek közül melyeket támogatja az alkalmazásod? Válaszd ki az összes vonatkozó módot / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,false,MULTIPLE_CHOICE,A következő fióklétrehozási módszerek közül melyeket támogatja az alkalmazásod? Válaszd ki az összes vonatkozó módot / Egyéb
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,false,MULTIPLE_CHOICE,A következő fióklétrehozási módszerek közül melyeket támogatja az alkalmazásod? Válaszd ki az összes vonatkozó módot / Az alkalmazásom nem biztosít lehetőséget a felhasználóknak fiók létrehozására
PSL_ACM_SPECIFY,,"A felhasználók e-mail címmel és jelszóval, valamint Google fiókkal regisztrálhatnak, melyhez e-mail megerősítés szükséges.",MAYBE_REQUIRED,Mutasd be az alkalmazásod által támogatott fióklétrehozási módot
PSL_ACCOUNT_DELETION_URL,,https://fokuszmester.com/profil,MAYBE_REQUIRED,"Adj meg egy linket, amellyel a felhasználók kérelmezhetik fiókjuk és a hozzájuk kapcsolódó adatok törlését "
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,true,SINGLE_CHOICE,"Biztosítasz lehetőséget a felhasználóknak arra, hogy kérhessék az adataik törlését? / Igen"
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,false,SINGLE_CHOICE,"Biztosítasz lehetőséget a felhasználóknak arra, hogy kérhessék az adataik törlését? / Nem"
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,false,SINGLE_CHOICE,"Biztosítasz lehetőséget a felhasználóknak arra, hogy kérhessék az adataik törlését? / Nem, de a felhasználói adatok 90 napon belül automatikusan törlődnek"
PSL_DATA_DELETION_URL,,https://fokuszmester.com/profil,MAYBE_REQUIRED,Adattörlési URL-cím
